# [New Useflow] Como admin, devo poder personalizar a paleta de cores da minha organização

| ID  | Descrição do Cenário | Instruções de Execução | Dados de Teste | Resultado Esperado |
|-----|-----------------------|------------------------|----------------|--------------------|
| 01  | Verificar a navegação para "Identidade visual" nas Configurações | Faça login como administrador > Acesse "Configurações" > Clique em "Identidade visual" | login_admin_user, senha_admin | A tela "Identidade visual" é carregada com duas colunas, conforme descrito nos critérios de aceitação |
| 02  | Verificar a visualização das três abas de preview | Na tela "Identidade visual", verifique a presença das três abas na coluna esquerda | - | As três abas "Administrador", "Colaborador, webapp", e "Colaborador, app" estão presentes e clicáveis |
| 03  | Verificar a interatividade das abas de preview | Clique em cada aba "Administrador", "Colaborador, webapp", "Colaborador, app" | - | Cada aba mostra o preview correspondente ao ser clicada |
| 04  | Verificar a presença do título e campo de definição da logo | Na coluna direita, abaixo do título "Personalize o perfil da sua organização" | - | Título visível e campo para definição da logo presente (tratado em outra estória) |
| 05  | Verificar a presença do dropdown "Paleta de cores" | Abaixo do campo para definição da logo, verifique a presença do dropdown "Paleta de cores" | - | Dropdown "Paleta de cores" visível e intitulado corretamente |
| 06  | Verificar descrição do dropdown "Paleta de cores" | Passe o mouse sobre o dropdown ou leia a descrição abaixo dele | - | A descrição "Personalize a sua organização com as paletas de cores disponíveis." está presente |
| 07  | Testar a funcionalidade do dropdown de seleção da paleta de cores | Clique no dropdown "Paleta de cores" e selecione uma paleta disponível | paleta_cor_valida_1 | A paleta selecionada é aplicada à visualização correspondente nas abas de preview |
| 08  | Tentar deixar o dropdown de "Paleta de cores" vazio | Tente salvar sem selecionar uma paleta de cores | - | Uma mensagem de erro é exibida indicando que a seleção de uma paleta de cores é obrigatória |
| 09  | Enviar uma resposta vazia no dropdown "Paleta de cores" | Tente prosseguir sem preencher qualquer valor no dropdown | - | O sistema não permite o avanço e mostra uma mensagem de erro |
| 10  | Inserir números no dropdown "Paleta de cores" | Tente inserir um número no campo do dropdown | 12345 | O sistema não permite a inserção de números (dropdown deve ser seletores) |
| 11  | Inserir caracteres especiais no dropdown "Paleta de cores" para verificar segurança | Tente inserir caracteres especiais ou scripts no dropdown | `<script>alert('xss')</script>` | O sistema sanitiza o input e não executa o script |
| 12  | Inserir caracteres inválidos no dropdown "Paleta de cores" para verificar segurança | Tente inserir caracteres inválidos no dropdown | `123!@#` |  O sistema deve rejeitar a operação e exibir uma mensagem de erro apropriada.|
| 13  | Verificar comportamento ao selecionar valores extremos no dropdown "Paleta de cores" | Tente selecionar a primeira e a última opção do dropdown | primeira_opcao, ultima_opcao | As visualizações são aplicadas corretamente independentemente da opção selecionada |
| 14  | Testar a visualização e persistência da paleta de cores configurada | Configure uma paleta de cores e salve as alterações. Recarregue a página. | paleta_cor_valida_1 | As configurações de cores são mantidas e aplicadas após recarregar a página |
| 15  | Comparação direta das telas implementadas com os critérios de aceitação | Acesse e verifique as telas implementadas com base no Figma | URL: https://app.clickup.com/t/3018923/QA-5487 | As telas e funcionalidades correspondem aos critérios de aceitação fornecidos |
